"","ID","EntrezGeneID","ORF","GB_ACC","PROBE_DERIVED_FROM_TRANSCRIPT","SPOT_ID","RosettaGeneModelID"
"3622","10023845936","","","AK025650","AK025650","","HSG00263752"
"3623","10023816812","701","BUB1B","NM_001211","NM_001211","","HSG00290275"
"3624","10025907377","27085","MTBP","NM_022045","NM_022045","","HSG00259888"
"3625","10025914316","","","XM_063737","XM_063737","","HSG00418055"
"3626","10023827634","51290","ERGIC2","NM_016570","NM_016570","","HSG00277575"
"3627","10023808709","","","BC043195","non-public","","HSG00357332"
"3628","10025934057","","","XM_210472","XM_210472","","HSG00363002"
"3629","10025912130","9372","ZFYVE9","NM_007323","NM_007323","","HSG00209230"
"3630","10025925948","","","AW410112","non-public","","HSG00367192"
"3631","10025915567","","","AK097740","AK097740","","HSG00239083"
"3632","10025931641","","","AF086366","AF086366","","HSG00291061"
"3633","10023810204","2528","FUT6","NM_000150","NM_000150","","HSG00306311"
"3634","10025925684","","","XM_062203","XM_062203","","HSG00270858"
"3635","10031920119","","","BG977742","BG977742","","HSG00336212"
"3636","10023814662","8574","AKR7A2","NM_003689","NM_003689","","HSG00205831"
"3637","10025934478","","","AW366526","non-public","","HSG00252251"
"3638","10023807185","57634","EP400","NM_015409","non-public","","HSG00276604"
"3639","10031920855","57148","KIAA1219","NM_020336","NM_020336","","HSG00311376"
"3640","10025934805","","","AF086278","AF086278","","HSG00218973"
"3641","10025912459","163742","","NM_178501","NM_178501","","HSG00207974"
"3642","10025903002","157753","TMEM74","NM_153015","NM_153015","","HSG00258109"
"3643","10023850605","65018","PINK1","NM_032409","NM_032409","","HSG00209162"
"3644","10025918469","","","BC030525","BC030525","","HSG00232227"
"3645","10023826929","9868","TOMM70A","NM_014820","NM_014820","","HSG00225877"
"3646","10025932762","","","AK021839","AK021839","","HSG00246084"
"3647","10025906709","51175","TUBE1","NM_016262","NM_016262","","HSG00242037"
"3648","10025925174","","","XM_210681","XM_210681","","HSG00386821"
"3649","10025930689","648232","","AB128832","non-public","","HSG00240900"
"3650","10023824587","2662","GDF10","NM_004962","NM_004962","","HSG00267763"
"3651","10025922838","79310","OR5H2","XM_116070","XM_116070","","HSG00220701"
"3652","10023839048","1048","CEACAM5","NM_004363","NM_004363","","HSG00306602"
"3653","10025903829","57026","PDXP","NM_020315","NM_020315","","HSG00314408"
"3654","10025932508","","","BF747841","non-public","","HSG00353423"
